trainNumber	trainType	originDepartureTime
D7107/D7108	D	57300
D7109/D7110	D	67200
D7111/D7112	D	24780
D7113/D7114	D	37800
D7115/D7116	D	51720
D7119/D7120	D	67200
D7121	D	38760
D7122	D	27900
D7123	D	62040
D7124	D	51600
D7132	D	33660
D7133	D	25440
D7134	D	80160
D7135	D	37320
D7136	D	75600
D7137	D	30360
D7138	D	72600
D7139	D	22620
D7140	D	61920
D7151/D7152	D	24300
D7153/D7154	D	33540
D7155/D7156	D	49800
D7157/D7158	D	62700
D7159/D7160	D	69600
D7161/D7162	D	31920
D7163/D7164	D	36600
D7165	D	31560
D7166	D	78540
D7167/D7168	D	69960
D7171	D	74820
D7172	D	73860
D7185	D	23520
D7186	D	34920
D7187	D	45660
D7188	D	55620
D7189	D	65520
D7190	D	76860
D7191	D	31800
D7193	D	60300
D7194	D	46620
D7195	D	63720
D7196	D	73560
D7205/D7206	D	37200
D7301	D	25200
D7303	D	25740
D7304	D	26700
D7305	D	28680
D7306	D	27900
D7308	D	28800
D7310	D	31500
D7311	D	32400
D7312	D	32700
D7313	D	35760
D7314	D	34500
D7315	D	38700
D7316	D	34560
D7319	D	42240
D7322	D	46500
D7324	D	47460
D7325	D	50160
D7326	D	49800
D7327	D	53100
D7328	D	53700
D7329	D	54900
D7330	D	56700
D7331	D	57300
D7332	D	57900
D7333	D	61020
D7335	D	64200
D7337	D	66060
D7338	D	65100
D7339	D	69300
D7340	D	68400
D7341	D	72600
D7342	D	59400
D7343	D	74580
D7344	D	72780
D7345	D	75540
D7346	D	74100
D7347	D	78000
D7348	D	68820
D7349	D	75960
D7352	D	78600
D7354	D	76020
D7401/D7404	D	26100
D7402/D7403	D	71760
D7405/D7408	D	45780
D7407	D	77880
D7409	D	54180
D7410	D	64020
D7411	D	74220
D7413	D	79080
D7414	D	40680
D7415	D	49920
D7416	D	58320
D7417	D	67260
D7418	D	76980
D7419	D	26400
D7420	D	39720
D7421	D	41940
D7422	D	32340
D7423	D	63000
D7424	D	52920
D7425	D	55440
D7427	D	76920
D7428	D	65820
D7429/D7432	D	24300
D7430/D7431	D	35040
D7433/D7436	D	46080
D7435	D	57540
D7437/D7440	D	69180
D7439	D	28800
D7441/D7444	D	35580
D7443	D	46680
D7445/D7448	D	57060
D7447	D	68700
D7451	D	24060
D7453	D	25980
D7454	D	28800
D7456	D	31620
D7459	D	33300
D7460	D	35220
D7461	D	36840
D7462	D	39360
D7464	D	41880
D7467	D	41640
D7469	D	44340
D7470	D	48720
D7472	D	50100
D7473	D	48360
D7475	D	52200
D7477	D	54600
D7478	D	55200
D7480	D	58440
D7483	D	62100
D7484	D	64080
D7486	D	66600
D7487	D	72000
D7488	D	72420
D7489	D	29280
D7490	D	42960
D7491	D	55680
D7492	D	69000
D7493	D	29580
D7494	D	45540
D7495	D	58200
D7496	D	75420
D7497	D	69480
D7498	D	57360
D7499	D	43500
D7500	D	29460
D7501/D7504	D	33720
D7502/D7503	D	47040
D7505/D7508	D	60000
D7506/D7507	D	72900
D7509/D7512	D	52800
D7510/D7511	D	37620
D7513/D7516	D	41280
D7514/D7515	D	50340
D7517/D7520	D	57240
D7518/D7519	D	41640
D7521/D7524	D	71340
D7522/D7523	D	56100
D7525/D7528	D	26700
D7526/D7527	D	66720
D7529/D7532	D	64980
D7530/D7531	D	27000
D7533/D7536	D	44220
D7534/D7535	D	59220
D7537/D7540	D	37500
D7538/D7539	D	52080
D7542/D7543	D	30660
D7545/D7548	D	67500
D7551/D7554	D	28800
D7553	D	58020
D7556	D	61380
D7557	D	40560
D7558	D	60300
D7561	D	36120
D7562	D	25080
D7563	D	59280
D7564	D	47640
D7565	D	35880
D7566	D	70200
D7567	D	55080
D7568	D	27480
D7569	D	74160
D7570	D	43920
D7571	D	29760
D7572	D	65580
D7573	D	52560
D7574	D	40620
D7575	D	71820
D7576	D	64080
D7601	D	19320
D7603	D	23280
D7604	D	23580
D7606	D	30540
D7607	D	26760
D7610	D	34500
D7611	D	31560
D7613	D	32820
D7614	D	38100
D7615	D	37860
D7616	D	44760
D7619	D	41220
D7620	D	48480
D7623	D	46200
D7624	D	52560
D7625	D	53340
D7629	D	54960
D7633	D	59760
D7635	D	62520
D7636	D	69120
D7638	D	71340
D7640	D	74400
D7641	D	22560
D7642	D	28800
D7664	D	42900
D7665	D	49500
D7666	D	55980
D7671	D	21300
D7672	D	24660
D7690	D	69000
D7711	D	26880
D7712	D	36780
D7713	D	47460
D7714	D	65040
D7715	D	55680
D7716	D	45840
D7717	D	35400
D7718	D	24000
D7719	D	66840
D7720	D	57660
D7723	D	71640
D7724	D	24000
D7731/D7734	D	28500
D7732/D7733	D	45000
D7736/D7737	D	30600
D7740/D7741	D	23400
D7742	D	28560
D7743/D7746	D	42900
D7747/D7750	D	60840
D7748/D7749	D	59460
D7751/D7754	D	46800
D7753	D	64680
D7755/D7758	D	57540
D7756/D7757	D	39480
D7801	D	22800
D7802	D	19620
D7803	D	24780
D7804	D	21600
D7805	D	26520
D7806	D	23040
D7807	D	29280
D7808	D	25020
D7809	D	32820
D7810	D	30600
D7811	D	33060
D7812	D	32400
D7813	D	35700
D7814	D	37860
D7815	D	39000
D7816	D	43920
D7817	D	44100
D7818	D	45000
D7819	D	47460
D7820	D	48180
D7821	D	52200
D7822	D	55080
D7823	D	56220
D7824	D	58380
D7825	D	57120
D7826	D	61920
D7827	D	59580
D7828	D	71100
D7829	D	60840
D7830	D	73380
D7831	D	69600
D7832	D	75240
D7834	D	79200
D7901	D	29280
D7902	D	33720
D7903	D	32340
D7904	D	39000
D7905	D	39000
D7906	D	44640
D7907	D	49200
D7908	D	54600
D7961	D	19200
D7962	D	70200
D7963	D	23220
D7964	D	73380
D8075	D	25920
D8076	D	61920
D8131	D	54600
D8132	D	26880
D8133	D	73800
D8134	D	46800
D8181	D	34920
D8182	D	25380
D8183	D	36000
D8184	D	45420
D8186	D	46140
D8201	D	29700
D8202	D	26700
D8203	D	37560
D8204	D	32340
D8205	D	50100
D8206	D	42840
D8207	D	57300
D8208	D	62580
D8210	D	68940
D8212	D	74400
D8251	D	26760
D8253	D	28800
D8255	D	62340
D8257	D	63480
D8259	D	79200
D8262/D8263	D	29100
D8265/D8268	D	34320
D8266/D8267	D	50520
D8269/D8272	D	47400
D8270/D8271	D	64200
D8277/D8280	D	66000
D8301	D	24720
D8302	D	51240
D8303	D	25560
D8304	D	58980
D8305	D	27300
D8306	D	60420
D8308	D	68100
D8309	D	32520
D8310	D	72480
D8311	D	31080
D8312	D	69720
D8313	D	58860
D8314	D	73380
D8315	D	65340
D8316	D	75600
D8341	D	29580
D8342	D	28200
D8343	D	33360
D8344	D	35700
D8345	D	40740
D8346	D	38160
D8347	D	53160
D8348	D	41760
D8349	D	55800
D8350	D	46920
D8351	D	63660
D8352	D	48600
D8354	D	58680
D8361	D	27000
D8362	D	66840
D8363	D	62700
D8364	D	71400
D8365/D8368	D	43800
D8366	D	72240
D8380	D	72780
D8381	D	36780
D8382	D	31800
D8383	D	39360
D8384	D	44160
D8386	D	49620
D8387	D	51600
D8388	D	61320
D8389	D	57600
D8390	D	70020
D8391/D8394	D	40560
D8392/D8393	D	26400
D8395/D8398	D	55800
D8399	D	69300
D8401	D	27360
D8402	D	30960
D8403	D	28740
D8405	D	42720
D8406	D	37800
D8408	D	41520
D8409	D	56340
D8410	D	58380
D8411	D	61020
D8412	D	64380
D8414	D	65880
D8416	D	66780
D8420	D	76020
D8431/D8434	D	71640
D8432/D8433	D	29280
D8451	D	25680
D8452	D	62340
D8453	D	29880
D8454	D	64980
D8461	D	28320
D8462	D	31680
D8463	D	64080
D8464	D	46620
D8466	D	57900
D8481	D	26700
D8483	D	55560
D8484	D	41880
D8486	D	69360
D8491	D	30600
D8492	D	29940
D8493	D	44040
D8494	D	44760
D8495	D	67320
D8501	D	18900
D8502	D	20400
D8503	D	23700
D8504	D	24360
D8505	D	26580
D8506	D	23880
D8507	D	27240
D8508	D	32400
D8509	D	28320
D8510	D	41760
D8511	D	34200
D8512	D	38880
D8513	D	37200
D8514	D	45900
D8515	D	42420
D8516	D	44340
D8517	D	49680
D8518	D	57720
D8519	D	51960
D8520	D	54720
D8521	D	54600
D8522	D	63360
D8523	D	64200
D8524	D	62400
D8525	D	68760
D8526	D	75180
D8554	D	27840
D8555	D	70560
D8557	D	71640
D8558	D	40260
D8559	D	72900
D8560	D	76740
D8561	D	75600
D8581	D	30180
D8582	D	25200
D8583	D	67800
D8584	D	63540
D8585	D	73740
D8586	D	69600
D8588	D	29280
D8601	D	22680
D8602	D	25200
D8607	D	73080
D8636/D8637	D	70500
D8641	D	29400
D8642	D	32700
D8645	D	35820
D8646	D	72300
D8649	D	36480
D8650	D	71820
D8651/D8654	D	26160
D8652/D8653	D	25380
D8655/D8658	D	28440
D8656/D8657	D	26040
D8659/D8662	D	30120
D8661	D	27480
D8664/D8665	D	27960
D8666	D	39120
D8668/D8669	D	30960
D8671/D8674	D	49380
D8672/D8673	D	32520
D8675/D8678	D	44940
D8676/D8677	D	33000
D8679/D8682	D	48000
D8683/D8686	D	53280
D8684/D8685	D	37080
D8687/D8690	D	54600
D8688/D8689	D	37500
D8691/D8694	D	67440
D8692/D8693	D	34800
D8696/D8697	D	35760
D8698	D	58980
D8701/D8704	D	63240
D8702/D8703	D	42720
D8705/D8708	D	66720
D8706/D8707	D	35400
D8709/D8712	D	66180
D8710/D8711	D	48780
D8713/D8716	D	70500
D8714/D8715	D	55920
D8718/D8719	D	61200
D8724	D	69960
D8726/D8727	D	56100
D8728	D	65640
D8729/D8732	D	71880
D8734/D8735	D	65940
D8736	D	72480
D8738/D8739	D	69720
D8740	D	74280
D8742/D8743	D	76860
D8748	D	76440
D8772/D8773	D	30300
D8774	D	30180
D8776/D8777	D	35880
D8778	D	31980
D8780/D8781	D	43440
D8782	D	46860
D8784/D8785	D	49680
D8788/D8789	D	61200
D8790	D	60000
D8794	D	63000
D8801	D	30600
D8802	D	31200
D8803	D	33300
D8804	D	34800
D8805	D	37800
D8806	D	42000
D8807	D	42480
D8808	D	45960
D8809	D	44940
D8810	D	48240
D8811	D	54300
D8812	D	54600
D8813	D	58800
D8814	D	60180
D8815	D	61200
D8816	D	69420
D8817	D	70200
D8851	D	45000
D8852	D	37620
D8861	D	34800
D8862	D	29340
D8865	D	60480
D8866	D	52200
D8867	D	75000
D8868	D	70200
D8869	D	78120
D8870	D	72900
D8881	D	39840
D8882	D	28200
D8883	D	66420
D8884	D	50220
D8901	D	28800
D8902	D	33300
D8903	D	37500
D8904	D	42000
D8905	D	65700
D8906	D	70800
D8911	D	29220
D8912	D	22740
D8913	D	44040
D8914	D	35880
D8915	D	67320
D8916	D	54600
D8917	D	80040
D8918	D	73500
D8919	D	33060
D8920	D	25920
D8921	D	48900
D8922	D	40020
D8923	D	35580
D8924	D	25260
D8931	D	24300
D8933	D	75600
D8935	D	72600
D8938	D	27660
D9342/D9343	D	43380
D9690	D	70200
D9691	D	70560
D9692/D9693	D	51300
D9695	D	43140
D9697	D	63540
D9698	D	34080
T7	T	60000
T8	T	31200
T9	T	54300
T10	T	37260
T17	T	60000
T18	T	59580
T25	T	64140
T26	T	53760
T39	T	49320
T40	T	66960
T41	T	51720
T42	T	70740
T47	T	68340
T48	T	67980
T49	T	54660
T50	T	69300
T55/T58	T	50640
T56/T57	T	65820
T63	T	71820
T64	T	65700
T77	T	41220
T78	T	35880
T79/T82	T	39480
T80/T81	T	57960
T95	T	67080
T96	T	59100
T101	T	48000
T102	T	57600
T109	T	72300
T110	T	64620
T111/T114	T	50700
T112/T113	T	37380
T115/T118	T	41100
T116/T117	T	55980
T121/T124	T	63420
T122/T123	T	77280
T125/T128	T	42000
T126/T127	T	81900
T129	T	73200
T130	T	64080
T131/T134	T	42060
T132/T133	T	51780
T135	T	63300
T136	T	64320
T145/T148	T	45420
T146/T147	T	43800
T151/T154	T	56100
T152/T153	T	32400
T155/T158	T	56700
T156/T157	T	70560
T167	T	51360
T168	T	69600
T169	T	39000
T170	T	53700
T171	T	66540
T172	T	67920
T175	T	47100
T176	T	43800
T179	T	62340
T180	T	72720
T181/T184	T	27000
T182/T183	T	54180
T197	T	75240
T198	T	67560
T203/T206	T	47340
T204/T205	T	43440
T211	T	42060
T212	T	47280
T215	T	70800
T216/T217	T	71880
T219/T222	T	39180
T220/T221	T	49020
T231	T	67800
T232	T	63480
T235/T238	T	25380
T236/T237	T	40500
T241/T244	T	27300
T242/T243	T	62760
T245/T248	T	45900
T246/T247	T	69900
T251/T254	T	70200
T252/T253	T	45180
T261	T	58440
T262	T	49740
T281/T284	T	70860
T282/T283	T	72000
T287/T290	T	43680
T288/T289	T	79200
T295	T	63900
T296	T	53640
T297	T	44580
T298	T	57900
T301/T304	T	31800
T302/T303	T	37800
T305/T308	T	65400
T306/T307	T	30960
T325/T328	T	67260
T326/T327	T	51000
T367/T370	T	48300
T368/T369	T	55860
T381	T	60900
T382	T	76440
T390	T	29400
T395/T398	T	27300
T396/T397	T	61080
T5101	T	50880
T5315/T5318	T	20700
T5316/T5317	T	53760
T5325	T	26760
T5326	T	46980
T5327	T	47700
T5328	T	59220
T5329	T	62760
T5330	T	21720
T5685	T	22680
T5686	T	37500
T5687	T	34560
T5688	T	59100
T6307	T	43140
T6308	T	40980
T6551	T	34560
T6552	T	61920
T6601	T	78600
T6602	T	81000
T6605	T	57600
T6606	T	25200
T6607	T	42720
T6608	T	28800
T6611	T	32400
T6612	T	47580
T6613	T	63180
T6614	T	28800
T6615	T	44280
T6616	T	63300
T7565	T	27600
T7566	T	40020
T7567	T	56400
T7575/T7578	T	26520
T7576/T7577	T	66900
T7771/T7774	T	54480
T7772/T7773	T	29160
T7775	T	28800
T7776/T7777	T	70560
T7781/T7784	T	68100
T7782	T	48840
T7785	T	58080
T7786	T	25680
T7787	T	54960
T7788	T	28500
T8001	T	28380
T8002	T	48240
T8309	T	76200
T8310	T	81300
T8321/T8324	T	29700
T8322/T8323	T	67080
T8365/T8368	T	41100
T8366/T8367	T	37800
T8369	T	29760
T8370	T	52260
T8379/T8382	T	26040
T8380/T8381	T	37200
T8701	T	65100
T8702	T	21900
T8711/T8714	T	42120
T8712/T8713	T	34080
T8715/T8718	T	61200
T8716/T8717	T	53700
T8865	T	28260
T8866	T	33660
T8869	T	34020
T8870	T	29280
T9021	T	32400
T9024	T	31500
T9501	T	80460
T9502	T	80400
T9503	T	31440
T9504	T	56760
T9515/T9518	T	54900
T9516/T9517	T	61080
T9525/T9528	T	51600
T9526/T9527	T	38880
T9575	T	48600
T9576	T	60960
T9581	T	30900
T9582	T	47280
T9583	T	61080
T9584	T	34020
T9585	T	49260
T9586	T	63180
G1	G	32400
G2	G	32400
G3	G	50400
G4	G	50400
G5	G	25200
G6	G	25200
G7	G	36000
G8	G	28800
G9	G	43200
G10	G	36000
G11	G	54000
G12	G	43200
G13	G	61200
G14	G	54000
G15	G	64800
G16	G	61200
G17	G	68400
G18	G	64500
G19	G	28800
G20	G	28080
G21	G	68880
G22	G	68400
G23	G	46800
G24	G	42120
G25	G	68100
G26	G	33480
G27	G	35100
G28	G	35520
G29	G	57600
G30	G	71760
G31	G	39600
G32	G	46800
G33	G	34800
G34	G	24900
G35	G	54600
G36	G	30480
G37	G	57900
G38	G	31020
G39	G	68640
G40	G	63720
G41	G	33300
G42	G	33840
G43	G	50700
G44	G	58500
G45	G	55500
G46	G	28980
G47	G	30600
G48	G	30600
G49	G	48600
G50	G	48060
G51	G	24720
G52	G	49800
G53	G	56940
G54	G	33480
G55	G	29400
G56	G	28380
G57	G	26100
G58	G	23820
G59	G	49200
G60	G	52680
G61	G	25560
G62	G	52560
G63	G	26580
G64	G	54600
G65	G	37980
G66	G	36000
G67	G	43980
G68	G	36660
G69	G	47220
G70	G	46200
G71	G	26760
G72	G	25200
G73	G	35820
G74	G	31320
G75	G	48600
G76	G	56820
G77	G	32400
G78	G	49920
G79	G	36000
G80	G	29100
G81	G	32400
G82	G	31020
G83	G	32100
G84	G	27480
G85	G	28800
G86	G	28800
G87	G	50400
G88	G	48600
G89	G	24780
G90	G	54120
G91	G	31200
G92	G	30780
G93	G	28560
G94	G	27540
G95/G98	G	35820
G96/G97	G	32100
G99	G	51000
G100	G	40200
G101	G	23760
G102	G	23160
G103	G	24240
G104	G	23880
G105	G	26400
G106	G	25920
G107	G	29100
G108	G	26520
G109	G	29700
G110	G	24840
G111	G	30900
G112	G	29100
G113	G	31800
G114	G	29700
G115	G	33600
G116	G	34440
G117	G	33900
G118	G	35520
G119	G	36300
G120	G	28260
G121	G	37200
G122	G	38460
G123	G	39900
G124	G	39480
G125	G	40200
G126	G	39900
G127	G	41400
G128	G	40500
G129	G	43800
G130	G	40500
G131	G	44400
G132	G	44220
G133	G	46200
G134	G	46800
G135	G	47100
G136	G	47760
G137	G	48900
G138	G	48540
G139	G	49500
G140	G	48840
G141	G	51000
G142	G	51000
G143	G	28200
G144	G	52920
G145	G	52500
G146	G	53400
G147	G	57000
G148	G	55440
G149	G	59100
G150	G	57900
G151	G	60300
G152	G	58680
G153	G	62160
G154	G	61980
G155	G	56700
G156	G	62280
G157	G	63360
G158	G	63240
G159	G	63960
G160	G	63960
G161	G	54900
G162	G	36240
G163	G	38700
G164	G	36840
G165	G	30600
G166	G	53280
G167	G	45900
G168	G	30780
G169	G	60000
G170	G	57120
G171	G	38820
G172	G	32280
G173	G	49620
G174	G	57840
G176	G	25680
G177	G	27000
G178	G	24900
G179	G	34500
G180	G	30600
G181	G	38400
G182	G	29700
G183	G	42480
G184	G	33960
G185	G	44700
G186	G	37200
G187	G	45600
G188	G	41280
G189	G	48000
G190	G	43500
G191	G	51600
G192	G	46500
G193	G	52800
G194	G	52380
G195	G	58200
G196	G	57420
G197	G	60600
G198	G	61560
G199	G	62460
G201	G	65100
G202	G	26760
G203	G	66900
G204	G	26160
G205	G	64500
G206	G	69600
G207	G	70200
G208	G	26100
G209	G	24900
G210	G	28380
G211	G	34260
G212	G	31320
G213	G	38520
G214	G	54300
G215	G	53160
G216	G	59820
G217	G	48600
G218	G	29460
G219	G	28800
G220	G	47220
G221/G224	G	25200
G222/G223	G	25500
G225/G228	G	50220
G226/G227	G	51600
G229/G232	G	32820
G230/G231	G	31920
G233/G236	G	58920
G234/G235	G	59520
G237	G	52200
G238	G	34620
G239	G	61200
G240	G	38820
G241/G244	G	27540
G242/G243	G	26280
G245/G248	G	48060
G246/G247	G	24000
G253/G256	G	51960
G254/G255	G	23400
G257/G260	G	54900
G258/G259	G	25860
G261	G	25680
G262	G	25380
G263	G	31500
G264	G	49080
G265	G	27900
G266	G	29400
G267	G	63060
G268	G	40800
G269	G	69300
G270	G	52380
G271	G	67200
G272	G	59880
G275/G278	G	22620
G276/G277	G	23880
G279	G	27300
G280	G	27780
G281/G284	G	23100
G282/G283	G	50520
G285	G	29220
G286	G	26220
G287/G290	G	34320
G288/G289	G	28800
G291/G294	G	31620
G292/G293	G	39480
G297/G300	G	24600
G298/G299	G	65340
G301	G	37800
G302	G	25260
G303	G	45000
G304	G	44100
G305	G	39480
G306	G	35280
G307	G	34680
G308	G	38520
G309	G	29880
G310	G	29100
G311/G314	G	33660
G312/G313	G	43500
G315/G318	G	26520
G316/G317	G	24420
G319	G	30000
G320	G	53580
G322	G	24960
G323	G	36600
G324	G	31920
G325	G	43500
G329	G	37920
G330	G	35100
G331	G	66600
G333	G	71700
G334	G	25980
G336	G	27900
G337	G	75600
G338	G	29100
G341	G	73200
G345	G	24900
G349	G	54780
G350	G	25200
G351	G	55800
G352	G	28800
G355	G	31200
G356	G	39240
G359/G362	G	31740
G360/G361	G	30960
G363	G	28440
G366	G	52200
G367/G370	G	27180
G368/G369	G	69480
G373	G	28320
G374	G	61380
G377/G380	G	36360
G378/G379	G	56400
G381	G	28500
G382	G	58140
G383	G	27300
G384	G	57720
G385/G388	G	61620
G386/G387	G	30300
G389/G392	G	54180
G390/G391	G	30000
G393	G	39000
G394	G	39900
G395	G	32700
G396	G	58020
G397	G	49800
G398	G	25260
G399	G	55200
G400	G	31320
G401	G	42180
G402	G	39600
G403	G	28800
G404	G	28800
G405	G	36300
G406	G	39480
G411	G	40800
G412	G	44880
G417	G	40440
G418	G	55980
G421	G	32700
G422	G	30300
G423	G	28380
G424	G	32700
G425	G	28200
G426	G	56640
G427	G	23220
G428	G	51960
G429	G	38700
G430	G	35340
G431	G	25560
G432	G	54180
G435	G	48540
G436	G	25080
G451/G454	G	67140
G452/G453	G	23700
G455/G458	G	47700
G456/G457	G	21900
G459/G462	G	33000
G460/G461	G	44520
G469	G	30000
G470	G	53520
G471	G	25440
G472	G	24180
G473	G	41700
G474	G	51480
G475	G	56100
G476	G	31320
G478	G	43500
G481	G	26700
G482	G	54000
G483/G486	G	41400
G484/G485	G	25380
G487	G	39120
G488	G	38940
G491	G	45180
G492	G	53100
G495/G498	G	25980
G496/G497	G	44100
G502	G	27360
G503	G	52860
G505	G	56400
G506	G	54300
G507	G	24120
G508	G	25800
G509	G	68400
G510	G	29400
G511	G	34020
G512	G	33660
G516	G	48600
G517	G	43080
G518	G	45900
G519	G	50700
G520	G	25200
G521	G	55380
G524	G	55200
G525	G	62040
G527	G	65640
G528	G	64740
G530	G	35400
G531	G	33240
G532	G	35100
G533	G	46920
G534	G	25800
G535	G	25500
G536	G	38580
G537	G	52380
G538	G	65220
G539	G	24840
G540	G	46740
G541	G	30300
G542	G	31500
G544	G	50160
G545	G	50640
G546	G	51180
G547	G	60240
G548	G	58980
G551	G	28800
G552	G	34320
G553	G	55260
G554	G	48480
G555	G	46560
G556	G	29880
G561	G	60780
G562	G	31980
G563	G	62340
G564	G	31980
G565	G	66480
G567	G	69360
G571	G	33720
G572	G	35580
G573	G	58680
G574	G	30420
G575/G578	G	53460
G576/G577	G	30240
G579	G	34020
G580	G	57180
G581/G584	G	33720
G582/G583	G	56280
G585	G	58980
G586	G	38520
G587	G	53280
G588	G	30600
G589/G592	G	44040
G590/G591	G	22440
G593/G596	G	51600
G594/G595	G	29760
G597/G600	G	54000
G598/G599	G	27960
G601	G	26460
G602	G	24480
G603	G	36600
G604	G	25200
G605	G	37680
G606	G	28920
G607	G	40440
G609	G	41580
G610	G	39600
G611	G	44340
G612	G	42000
G613	G	51000
G614	G	48720
G615	G	54180
G616	G	41340
G618	G	53880
G619	G	64920
G620	G	55440
G621	G	65220
G622	G	60600
G623	G	67260
G624	G	65220
G625	G	72300
G626	G	67800
G627	G	29100
G628	G	51900
G629	G	69780
G630	G	30240
G631	G	28800
G632	G	47580
G633	G	34140
G634	G	59400
G635	G	50580
G636	G	30300
G637	G	27480
G638	G	65640
G639/G642	G	31680
G640/G641	G	29700
G645	G	31620
G646	G	49200
G649	G	32880
G650	G	58080
G651	G	25080
G652	G	28320
G653	G	27780
G655	G	34980
G656	G	36120
G658	G	45840
G659	G	42780
G660	G	40380
G661	G	49800
G663	G	56700
G664	G	52680
G665	G	57600
G666	G	57720
G667	G	40740
G668	G	63300
G670	G	64740
G671	G	28140
G672	G	28800
G673	G	52080
G674	G	57600
G675/G678	G	48900
G676/G677	G	30600
G681/G684	G	25800
G682/G683	G	61080
G685/G688	G	63480
G686/G687	G	47820
G691/G694	G	59820
G692/G693	G	35280
G695/G698	G	38760
G696/G697	G	33780
G701	G	20940
G702	G	22560
G703	G	24300
G704	G	26340
G705	G	26880
G706	G	28440
G707	G	28920
G708	G	32640
G709	G	33360
G710	G	38100
G711	G	34680
G712	G	43200
G713	G	40020
G714	G	32160
G716	G	54960
G717	G	44520
G718	G	40200
G719	G	45720
G720	G	52140
G722	G	59220
G723	G	51180
G724	G	56520
G725	G	56100
G727	G	59640
G728	G	66720
G729	G	64320
G730	G	64140
G731	G	68580
G752	G	37080
G753	G	56760
G754	G	41520
G755	G	62160
G763	G	33660
G764	G	48540
G765	G	56820
G766	G	26640
G767	G	60180
G768	G	36120
G769	G	63900
G770	G	44520
G771	G	24600
G772	G	51600
G781/G784	G	52260
G782/G783	G	31680
G785/G788	G	33120
G786/G787	G	54300
G801/G804	G	33300
G802	G	27540
G805	G	48600
G806	G	49140
G807	G	72000
G808	G	66060
G817/G820	G	34500
G818/G819	G	34500
G821/G824	G	39780
G822/G823	G	35700
G825/G828	G	45240
G826/G827	G	46140
G831/G834	G	28980
G832/G833	G	25440
G835/G838	G	44940
G836/G837	G	41160
G839/G842	G	48000
G840/G841	G	46800
G843/G846	G	37920
G844/G845	G	44580
G847/G850	G	28380
G851/G854	G	38940
G852/G853	G	44100
G855/G858	G	55080
G856/G857	G	33420
G859/G862	G	37680
G860/G861	G	41400
G863/G866	G	26340
G864/G865	G	32700
G867/G870	G	25380
G868/G869	G	33660
G1001	G	26700
G1002	G	25200
G1003	G	28500
G1004	G	30720
G1005	G	29520
G1006	G	34200
G1007	G	34200
G1008	G	37560
G1009	G	34860
G1010	G	41100
G1012	G	47400
G1013	G	43620
G1014	G	55260
G1015	G	49200
G1017	G	52740
G1019	G	56700
G1020	G	59100
G1021	G	61080
G1031/G1034	G	31020
G1032/G1033	G	45540
G1035/G1038	G	27180
G1036/G1037	G	54600
G1102	G	24780
G1103	G	24780
G1105	G	27420
G1108	G	33360
G1109	G	32700
G1110	G	37860
G1112	G	38640
G1113	G	26520
G1114	G	40320
G1117	G	42300
G1122	G	46500
G1123	G	50340
G1125	G	53820
G1127	G	55740
G1128	G	54780
G1129	G	57000
G1130	G	55560
G1133	G	64680
G1134	G	62400
G1135	G	65280
G1136	G	63600
G1138	G	63000
G1140	G	67380
G1143	G	33360
G1145/G1148	G	35100
G1146/G1147	G	54060
G1151/G1154	G	61800
G1152/G1153	G	41760
G1155/G1158	G	29880
G1156/G1157	G	51480
G1161	G	42600
G1162	G	60420
G1165/G1168	G	33360
G1201/G1204	G	34740
G1205/G1208	G	22200
G1206/G1207	G	29160
G1211/G1214	G	37200
G1212/G1213	G	32820
G1215/G1218	G	33120
G1216/G1217	G	27000
G1221/G1224	G	27240
G1222/G1223	G	28740
G1225/G1228	G	24840
G1226/G1227	G	29040
G1229/G1232	G	27240
G1230/G1231	G	40260
G1233/G1236	G	38160
G1234/G1235	G	38220
G1237/G1240	G	31860
G1238/G1239	G	34200
G1241/G1244	G	27720
G1242/G1243	G	56400
G1245/G1248	G	29520
G1246/G1247	G	34680
G1251/G1254	G	31980
G1252/G1253	G	40200
G1255/G1258	G	32880
G1256/G1257	G	42780
G1261/G1264	G	29460
G1262/G1263	G	33900
G1265/G1268	G	21720
G1266/G1267	G	37740
G1271/G1274	G	26460
G1272/G1273	G	25920
G1275/G1278	G	28500
G1281/G1284	G	25200
G1282/G1283	G	26340
G1285/G1288	G	53160
G1286/G1287	G	25740
G1289/G1292	G	32340
G1290/G1291	G	26460
G1293/G1296	G	37020
G1294/G1295	G	40680
G1297/G1300	G	48000
G1298/G1299	G	25800
G1301	G	37440
G1304	G	48240
G1305	G	55500
G1306	G	56280
G1311/G1314	G	28200
G1312/G1313	G	27480
G1322	G	32820
G1328	G	42840
G1329	G	49200
G1331	G	54420
G1332	G	24720
G1333/G1336	G	41940
G1334/G1335	G	31680
G1337/G1340	G	30300
G1338/G1339	G	41700
G1341	G	27120
G1342	G	25860
G1344	G	27000
G1346	G	28800
G1347	G	35460
G1348	G	32400
G1349	G	38880
G1350	G	34020
G1352	G	37800
G1353	G	48300
G1355	G	49620
G1356	G	48900
G1357	G	54060
G1359	G	56220
G1361	G	59880
G1362	G	48300
G1363	G	61740
G1364	G	60000
G1365	G	63480
G1369	G	45600
G1370	G	33420
G1371	G	26520
G1372	G	29640
G1373	G	32100
G1374	G	36480
G1375	G	40500
G1376	G	38220
G1377	G	27540
G1378	G	27360
G1379	G	27480
G1380	G	26640
G1382	G	26520
G1383	G	24300
